Date;Ouverture;Cloture
01/02/2019;3.71;3.75
31/01/2019;3.85;3.79
30/01/2019;3.76;3.80
29/01/2019;3.84;3.80
28/01/2019;3.97;3.86
25/01/2019;3.99;3.98
24/01/2019;3.92;3.98
23/01/2019;3.80;3.86
22/01/2019;3.90;3.84
21/01/2019;3.98;3.89
18/01/2019;3.94;3.97
17/01/2019;3.94;3.89
16/01/2019;3.84;3.86
15/01/2019;3.85;3.84
14/01/2019;3.87;3.81
11/01/2019;3.86;3.87
10/01/2019;3.83;3.95
09/01/2019;4.04;3.94
08/01/2019;3.70;3.98
07/01/2019;3.80;3.74
04/01/2019;3.61;3.80
03/01/2019;3.50;3.56
02/01/2019;3.56;3.47
31/12/2018;3.29;3.47
