AB SCIENCE;1rPAB
ABC ARBITRAGE;1rPABCA
ACCOR;1rPAC
ACTIA GROUP;1rPATI
ADOCIA;1rPADOC
ADP;1rPADP
AIR FRANCE-KLM;1rPAF
AIR LIQUIDE;1rPAI
AIRBUS;1rPAIR
AKKA TECHNOLOGIES;1rPAKA
AKWEL;1rPAKW
ALBIOMA;1rPABIO
ALD;1rPALD
ALSTOM;1rPALO
ALTAMIR;1rPLTA
ALTAREA;1rPALTA
ALTEN;1rPATE
ARCHOS;1rPALJXR
ARGAN;1rPARG
ARKEMA;1rPAKE
ARTMARKET.COM;1rPPRC
ASSYSTEM;1rPASY
ATARI;1rPATA
ATOS;1rPATO
AUBAY;1rPAUB
AXA;1rPCS
AXWAY SOFTWARE;1rPAXW
BENETEAU;1rPBEN
BIC;1rPBB
BIGBEN INTERACTIVE;1rPBIG
BIOMERIEUX;1rPBIM
BNP PARIBAS;1rPBNP
BOIRON;1rPBOI
BOLLORE;1rPBOL
BONDUELLE;1rPBON
BOUYGUES;1rPEN
BUREAU VERITAS;1rPBVI
CAPGEMINI;1rPCAP
CARMILA;1rPCARM
CARREFOUR;1rPCA
CASINO GUICHARD PERRACHON;1rPCO
CATERING INTL CIS;1rPCTRG
CEGEDIM;1rPCGM
CGG;1rPCGG
CHARGEURS;1rPCRI
CHRISTIAN DIOR;1rPCDI
CIE DES ALPES;1rPCDA
CLARANOVA SE;1rPCLA
CNIM GROUP;1rPCOM
CNP ASSURANCES;1rPCNP
COFACE;1rPCOFA
COLAS;1rPRE
COMP DE L'ODET;1rPODET
COVIVIO;1rPCOV
CREDIT AGRICOLE SA;1rPACA
CRIT;1rPCEN
DANONE;1rPBN
DASSAULT AVIATION;1rPAM
DASSAULT SYSTEMES;1rPDSY
DBV TECHNOLOGIES;1rPDBV
DMS;1rPDGM
EDENRED;1rPEDEN
EDF;1rPEDF
EIFFAGE;1rPFGR
EKINOPS;1rPEKI
ELIOR GROUP;1rPELIOR
ENGIE;1rPENGI
ERAMET;1rPERA
ERYTECH PHARMA;1rPERYP
ESSILORLUXOTTICA;1rPEL
ESSO;1rPES
EURAZEO;1rPRF
EUROFINS SCIENTIFIC;1rPERF
EURONEXT;1rPENX
EUROPCAR MOBILITY GRP;1rPEUCAR
EUTELSAT COMMUNIC.;1rPETL
